,CITY,REFERENCE TAX INCOME,UNEMPLOYMENT RATE,RSA BENEFICIARIES,Average net monthly salaries,Percentage of employees on permanent contracts,Number of companies,Average wealth tax per household n/a,CAF beneficiaries,Population
144,Saint-Pol-sur-Ternoise,17927.0,21.27%,5.23%,2005.66,76.50%,312.0,nc,27.86%,4870.0
145,Noyon,17684.0,26.42%,7.10%,2145.72,79.21%,823.0,nc,28.56%,13197.0
146,Auby,17955.0,23.40%,5.34%,2076.14,79.50%,238.0,nc,23.98%,7205.0
147,Saint-Florentin,17015.0,26.56%,5.92%,1975.73,79.32%,285.0,nc,25.02%,4211.0
148,Sochaux,16797.0,20.49%,5.93%,2027.89,72.80%,151.0,nc,29.67%,3820.0
149,Saint-Jean-d'Angély,19180.0,21.12%,6.04%,2063.92,76.32%,634.0,nc,26.96%,6744.0
150,Vieux-Condé,18274.0,21.53%,4.95%,2049.21,81.28%,326.0,nc,22.34%,10409.0
151,Castillon-la-Bataille,14699.0,27%,6.74%,1929.80,65.15%,235.0,nc,24.43%,3238.0
152,Fumel,17811.0,21.13%,5.38%,1966.04,76.09%,289.0,nc,21.88%,4709.0
153,Gray,16599.0,21.20%,3.96%,2018.47,72.33%,450.0,nc,28.18%,5560.0
154,LeMarigot,14085.0,23.82%,9.99%,1935.12,77.23%,193.0,nc,30.36%,3078.0
