,CITY,REFERENCE TAX INCOME,UNEMPLOYMENT RATE,RSA BENEFICIARIES,Average net monthly salaries,Percentage of employees on permanent contracts,Number of companies,Average wealth tax per household n/a,CAF beneficiaries,Population
1052,Pont-Sainte-Maxence,21757.0,18.15%,3.70%,2359.14,84.48%,657.0,nc,24.25%,12512.0
1053,Sainte-Maure-de-Touraine,21175.0,12.85%,2.97%,2140.02,83.35%,245.0,nc,20.90%,4147.0
1054,Belleville-sur-Meuse,22978.0,12.42%,5.89%,2075.01,82.98%,209.0,nc,22.18%,3020.0
1055,Gap,24584.0,12.92%,2.84%,2150.79,80.62%,3666.0,10751,22.67%,40111.0
1056,Montguyon,19405.0,18.95%,3.89%,nc,78.59%,139.0,nc,19.53%,1564.0
1057,Nontron,21518.0,14.47%,2.86%,2131.37,82.23%,288.0,nc,21.11%,3040.0
1058,Roquemaure,22841.0,17.04%,3.56%,2216.02,83.44%,393.0,nc,20.59%,5531.0
1059,Saint-Georges-d'Oléron,23776.0,20.62%,2.91%,2094.02,79.61%,405.0,nc,16.31%,3845.0
1060,Talange,21228.0,13.86%,2.86%,2132.31,86.28%,414.0,nc,19.53%,7832.0
1061,Vic-Fezensac,20151.0,11.08%,2.93%,2089.57,81.81%,280.0,nc,19.63%,3583.0
1062,Corbie,21750.0,15.68%,2.46%,2268.98,81.85%,279.0,nc,22.34%,6276.0
1063,Gond-Pontouvre,22709.0,16.10%,3.13%,2219.11,83.30%,499.0,nc,22.87%,6017.0
1064,Illzach,24539.0,18.92%,2.92%,2146.49,84.69%,971.0,nc,18.79%,14380.0
1065,L'Horme,22340.0,15.11%,2.87%,2230.52,80.99%,315.0,nc,22.19%,4766.0
1066,LaRochelle,25434.0,19.11%,4.65%,2395.87,76.22%,9050.0,9437,32.98%,77210.0
1067,LaVôge-les-Bains,19710.0,21.26%,3.94%,nc,78.57%,131.0,nc,18.45%,1589.0
1068,Barjols,20646.0,16.61%,4.72%,2170.53,85.93%,330.0,nc,23.55%,3017.0
1069,Honfleur,23555.0,17.15%,3.40%,2296.03,80.91%,958.0,nc,26.49%,6742.0
1070,Lalinde,22329.0,18.65%,3.02%,2141.53,78.18%,289.0,nc,17.42%,2827.0
1071,LeBugue,23667.0,17.40%,3.29%,2020.26,82.05%,325.0,nc,19.17%,2595.0
1072,Loudéac,24937.0,13.60%,2.37%,2087.08,79.95%,713.0,nc,19.61%,9652.0
1073,Olonzac,19099.0,18.28%,4.39%,nc,77.94%,189.0,nc,18.14%,1684.0
1074,Riez,20935.0,18.82%,4.87%,nc,80.05%,233.0,nc,23.92%,1661.0
1075,Saint-Laurent-sur-Saône,18019.0,13.43%,3.86%,nc,79.43%,127.0,nc,30.56%,1674.0
1076,Lannoy,20887.0,16.99%,3.78%,nc,81.73%,141.0,nc,27.94%,1810.0
1077,Haubourdin,21836.0,14.26%,3.75%,2250.49,85.75%,758.0,nc,25.64%,14556.0
1078,Saint-Ciers-sur-Gironde,20202.0,15.05%,3.83%,2272.07,79.08%,167.0,nc,18.27%,3029.0
1079,Vidauban,22396.0,14.83%,3.51%,2224.90,84.32%,1146.0,nc,19.10%,12693.0
1080,Auchy-les-Mines,21064.0,14.98%,3.20%,2159.44,86.10%,229.0,nc,21.11%,4656.0
1081,Florensac,21995.0,17.85%,2.91%,2109.17,86.32%,349.0,nc,18.88%,5035.0
1082,Avesnelles,22246.0,17.16%,2.94%,2110.81,83.29%,113.0,nc,21.18%,2309.0
1083,Escaudœuvres,22182.0,19.16%,3.43%,2219.14,83.69%,133.0,nc,21.07%,3186.0
1084,Granges-Aumontzey,20767.0,15.80%,2.28%,2019.63,83.07%,175.0,nc,17.68%,2605.0
1085,LeHoulme,21172.0,16.13%,3.36%,2209.46,85.17%,222.0,nc,22.67%,4149.0
1086,LeNeubourg,21963.0,14.70%,3.16%,2272.71,77.62%,388.0,nc,22.99%,4254.0
1087,Monclar-de-Quercy,20639.0,19.17%,2.67%,2103.18,82.04%,121.0,nc,17.67%,2014.0
1088,Saint-Geniès-de-Malgoirès,21895.0,16.46%,2.53%,2140.31,81.06%,241.0,nc,19.13%,3067.0
1089,Aix-Villemaur-Pâlis,22141.0,19.87%,2.65%,2087.60,85.38%,200.0,nc,18.24%,3537.0
1090,Saint-Antonin-Noble-Val,21017.0,18.23%,4.17%,nc,74.09%,301.0,nc,19.03%,1884.0
1091,Bourg,20908.0,16.27%,3.59%,2207.83,79.78%,230.0,nc,21.42%,2303.0
1092,Lasalle,17615.0,24.48%,10.72%,nc,78.72%,142.0,nc,28.52%,1093.0
1093,Saint-Bonnet-le-Château,18705.0,21.54%,2.64%,nc,79.02%,146.0,nc,23.56%,1497.0
1094,Villeurbanne,23078.0,14.99%,4.31%,2471.35,81.12%,14993.0,7604,33.12%,154781.0
1095,Berlaimont,21480.0,20.61%,2.83%,2201.13,83.12%,145.0,nc,18.71%,3174.0
1096,Chalabre,16700.0,19.58%,5.42%,nc,77.45%,83.0,nc,22.47%,1139.0
1097,Cornimont,20416.0,11.84%,2.40%,1987.99,82.15%,215.0,nc,18.36%,3062.0
1098,Faulquemont,21603.0,14.97%,2.99%,2184.72,84.53%,364.0,nc,20.14%,5157.0
1099,Gonfaron,20969.0,13.56%,3.55%,2167.10,85.16%,367.0,nc,21.99%,4352.0
1100,Sainte-Savine,24029.0,16.99%,3.44%,2303.68,81.72%,704.0,nc,24.40%,10496.0
1101,Bort-les-Orgues,18395.0,11.40%,2.05%,1919.18,82.62%,229.0,nc,22.31%,2595.0
1102,Bouchain,22023.0,17.75%,2.98%,2198.22,84.57%,173.0,nc,20.70%,3937.0
1103,LeFaouët,20423.0,15.47%,2.17%,2026.33,82.83%,209.0,nc,16.95%,2800.0
1104,Villerupt,22913.0,16.01%,2.97%,2003.17,84.37%,268.0,nc,12.30%,10098.0
1105,Carentan-les-Marais,21395.0,13.45%,2.01%,2217.93,80.47%,696.0,nc,19.65%,10227.0
1106,Guiscard,20951.0,17.77%,3.72%,nc,80.87%,85.0,nc,18.92%,1800.0
1107,Laval,24113.0,14.68%,3.19%,2325.71,77.15%,3780.0,11305,28.21%,49617.0
1108,Mantes-la-Ville,23038.0,17.18%,3.37%,2368.89,82.36%,1201.0,nc,22.71%,20844.0
1109,Maubourguet,19720.0,15.29%,1.87%,1948.36,83.17%,210.0,nc,20.36%,2254.0
1110,Vieux-Fort,23043.0,28.54%,9.85%,nc,83.54%,98.0,nc,23.22%,1841.0
1111,Villers-Cotterêts,21903.0,18.47%,3.02%,2307.99,85.08%,504.0,nc,22.48%,10392.0
1112,Wallers,21810.0,17.72%,3.20%,2281.11,83.52%,244.0,nc,19.83%,5617.0
1113,Badonviller,18072.0,18.73%,3.37%,nc,83.56%,67.0,nc,22.47%,1559.0
1114,Banyuls-sur-Mer,22817.0,17.14%,2.93%,2132.96,81.01%,410.0,nc,15.71%,4761.0
1115,Merville,22077.0,14.46%,2.56%,2246.47,82.77%,445.0,nc,20.49%,9692.0
1116,Saint-Hilaire-du-Harcouët,21128.0,10.70%,2.63%,2068.23,83.55%,411.0,nc,20.55%,5769.0
1117,Sumène,18731.0,18%,8.29%,nc,81.71%,152.0,nc,29.82%,1308.0
1118,Amplepuis,23037.0,13.54%,2.64%,2134.83,82.90%,342.0,nc,22.11%,4906.0
1119,Brou,20955.0,15.29%,2.96%,2091.66,85.52%,221.0,nc,18.41%,3265.0
1120,Cazouls-lès-Béziers,22389.0,15.51%,2.88%,2159.08,84.58%,360.0,nc,19.41%,5124.0
1121,Saint-Rambert-d'Albon,21278.0,17.47%,1.91%,2187.85,83.33%,475.0,nc,19.12%,6833.0
1122,Woincourt,19680.0,22.77%,4.88%,nc,81.10%,61.0,nc,22.32%,1224.0
1123,Barcelonnette,20981.0,10.89%,2.36%,2005,64.21%,462.0,nc,22.84%,2561.0
1124,Brezolles,19909.0,16.04%,2.88%,nc,82.07%,94.0,nc,23.21%,1814.0
1125,Embrun,23703.0,11%,2.73%,2116.66,70.27%,779.0,nc,21.75%,6435.0
1126,Grand-Couronne,24215.0,18.58%,4.51%,2328.54,83.11%,463.0,nc,23.56%,9731.0
1127,L'Étoile,17783.0,25.52%,5.36%,nc,82.93%,26.0,nc,22.75%,1175.0
1128,Bourg-Saint-Andéol,23152.0,18.41%,2.76%,2303.90,81.11%,439.0,nc,20.97%,7187.0
1129,Vitry-sur-Seine,21593.0,15.82%,4.68%,2374.86,85.63%,7508.0,9535,23.36%,95649.0
1130,Orbec,23208.0,20.59%,4.62%,nc,81.10%,185.0,nc,24.77%,1943.0
1131,Quimper,24573.0,14.48%,3.23%,2260.16,81.72%,5101.0,10511,26.44%,63473.0
1132,Saint-Amand-les-Eaux,22355.0,17.25%,3.76%,2375.34,84.44%,1087.0,nc,24.06%,15997.0
1133,Vernet-les-Bains,19624.0,23.84%,3.53%,nc,81.15%,133.0,nc,21.52%,1447.0
1134,Anizy-le-Grand,22462.0,16.91%,3.10%,2134.68,83.29%,107.0,nc,19.22%,2587.0
1135,Ars-sur-Moselle,21684.0,16.20%,3.48%,2219.14,85.44%,327.0,nc,22.06%,4695.0
1136,Épinac,20417.0,13.81%,2.37%,2058.74,82.33%,150.0,nc,20.19%,2145.0
1137,Neuville-sur-Escaut,20600.0,16.37%,3.26%,2152.54,85.81%,78.0,nc,18.79%,2688.0
1138,Saint-Savinien,21191.0,13.67%,2.41%,1936.47,82.32%,182.0,nc,17.53%,2452.0
1139,Sérignan,23970.0,19.04%,3.63%,2267.13,82.99%,612.0,nc,20.36%,7809.0
1140,VrigneauxBois,22689.0,20.93%,4.21%,2270.84,83.27%,203.0,nc,20.79%,3556.0
1141,Capestang,21746.0,16.03%,2.53%,2160.22,81.48%,262.0,nc,18.11%,3298.0
1142,Châteaulin,22308.0,12.41%,2.10%,2111.53,82.05%,370.0,nc,22.98%,5156.0
1143,Bouzonville,21307.0,15.20%,3.33%,2146.12,84.05%,280.0,nc,16.85%,3926.0
1144,Hornaing,22093.0,18.87%,2.60%,2252.66,81.88%,103.0,nc,18.84%,3548.0
1145,Longvic,23738.0,14.69%,2.89%,2245.41,81.66%,740.0,nc,23.05%,8631.0
1146,Monchecourt,22241.0,16.64%,3.12%,2173.46,83.83%,61.0,nc,19.39%,2508.0
1147,Serquigny,20943.0,19.66%,3.19%,nc,83.28%,75.0,nc,21.34%,1793.0
1148,Souppes-sur-Loing,21865.0,20.47%,4.07%,2265.58,86.32%,304.0,nc,21.94%,5253.0
1149,Trélazé,24335.0,15.33%,2.72%,2191.94,84.57%,897.0,nc,25.02%,15056.0
1150,Trignac,21670.0,11.86%,2.87%,2195.92,83.50%,510.0,nc,22%,8101.0
1151,Ambarès-et-Lagrave,22622.0,13.98%,4.17%,2263.31,85.49%,1314.0,nc,23.43%,16591.0
1152,Burbure,21137.0,13.63%,2.34%,2130.92,81.21%,106.0,nc,18.66%,2812.0
1153,MézidonValléed'Auge,21682.0,12.63%,2.30%,2149.25,83.72%,472.0,nc,18.96%,9624.0
1154,Brives-Charensac,21594.0,13.74%,2.10%,2122.87,84.11%,344.0,nc,25.18%,4238.0
1155,Cocheren,21483.0,17.05%,3.01%,2111.30,86.98%,127.0,nc,19.23%,3355.0
1156,Montmélian,21157.0,14.01%,1.70%,2147.58,80.45%,294.0,nc,22.08%,4064.0
1157,Nissan-lez-Enserune,23174.0,18.78%,3.19%,2178.34,83.88%,339.0,nc,19.36%,4020.0
1158,Régny,19507.0,20.44%,2.72%,nc,79.85%,78.0,nc,19.74%,1490.0
1159,Saint-Avold,24268.0,17.70%,4.19%,2312.62,83.69%,1269.0,nc,22.84%,15171.0
1160,Saint-Gaultier,20040.0,15.62%,3.19%,nc,81.13%,110.0,nc,21.49%,1734.0
1161,Saint-Memmie,23836.0,15.90%,2.25%,2159.41,82.19%,289.0,nc,21.22%,5448.0
1162,Annemasse,28674.0,18.55%,3.45%,1994.43,84.99%,3006.0,nc,18.12%,37485.0
1163,Candé,21143.0,15.43%,2.16%,2152.41,78.95%,156.0,nc,17.89%,2821.0
1164,Ducos,22670.0,16.32%,6.91%,2412.86,84.16%,2236.0,nc,23.68%,17504.0
1165,Figeac,23810.0,13.58%,3.73%,2290.69,80.87%,929.0,nc,26.45%,9784.0
1166,Liffol-le-Grand,20307.0,13.41%,3.07%,2103.92,79.18%,161.0,nc,17.37%,2124.0
1167,Pont-Remy,18935.0,17.82%,2.94%,nc,78.85%,65.0,nc,19.06%,1460.0
1168,Puy-l'Évêque,21078.0,17.73%,3.58%,nc,80.32%,154.0,nc,18.21%,1929.0
1169,Avessac,20489.0,11.97%,2.49%,2031.28,79.05%,118.0,nc,16.86%,2444.0
1170,Fleury-sur-Orne,23867.0,16.16%,2.72%,2189.22,82.81%,437.0,nc,24.57%,4981.0
1171,Chambéry,24733.0,15.01%,3.06%,2380.19,79.45%,5323.0,7620,28.12%,59172.0
1172,Chauffailles,21228.0,13.46%,2.29%,2092.73,82.25%,307.0,nc,17.50%,3688.0
1173,Cozes,21521.0,15.88%,2.50%,1974.32,83.69%,188.0,nc,18.60%,2144.0
1174,Doudeville,22113.0,16.56%,3.70%,2248.35,80.52%,157.0,nc,22.72%,2472.0
1175,Loué,21445.0,12.19%,3.02%,2085.91,79.24%,103.0,nc,19.66%,2062.0
1176,Puisserguier,22018.0,16.67%,2.85%,2155.81,82.72%,249.0,nc,18.18%,3026.0
1177,Saint-Affrique,22627.0,11.49%,2.30%,2128.73,81.43%,678.0,nc,20.52%,8018.0
1178,Salies-de-Béarn,22358.0,14.40%,2.53%,2153.37,83.01%,438.0,nc,19.45%,4555.0
1179,Xertigny,20458.0,14.14%,2.64%,2120.77,83.50%,161.0,nc,18.69%,2583.0
1180,Argenteuil,22088.0,17.14%,5%,2441.65,85.36%,10449.0,nc,24.40%,108567.0
1181,Bordères-sur-l'Échez,22405.0,12.87%,2.98%,2098.78,85.57%,303.0,nc,20.64%,5421.0
1182,Josselin,21470.0,15.72%,2.25%,2093.38,82.02%,215.0,nc,18.86%,2511.0
1183,Aureilhan,23392.0,16.08%,2.10%,2113.97,84.95%,392.0,nc,18.98%,7932.0
1184,Lectoure,22038.0,14.05%,3.01%,2184.55,80.60%,413.0,nc,18.54%,3687.0
1185,Martres-Tolosane,20887.0,18.36%,3.09%,2237.25,81.79%,191.0,nc,19.90%,2407.0
1186,Mayenne,23977.0,12.47%,2.33%,2178.03,80.64%,822.0,nc,22.63%,12805.0
1187,Nomexy,19604.0,16.69%,2.41%,nc,82.69%,101.0,nc,22.91%,1955.0
1188,Pantin,21937.0,16.41%,5.16%,2564.41,82.79%,9483.0,nc,23.29%,60419.0
1189,Breil-sur-Roya,19978.0,14.81%,2.99%,2106.96,84.56%,181.0,nc,20.94%,2121.0
1190,Camiers,21106.0,15.50%,2.98%,2189.19,84.16%,139.0,nc,22.06%,2707.0
1191,Florange,21360.0,13.83%,3.33%,2151.23,87.81%,595.0,nc,18.81%,11939.0
1192,Montréal,22201.0,16.13%,5.42%,2201.77,80.43%,169.0,nc,22.31%,1980.0
1193,Réalmont,22055.0,12.31%,3.26%,2083.46,85.05%,278.0,nc,22.05%,3501.0
1194,Pont-à-Mousson,23225.0,16.07%,3.63%,2325.84,83.93%,956.0,nc,22.60%,14357.0
1195,Sommières,21141.0,17.86%,6.21%,2420.47,84.30%,671.0,nc,27.08%,5053.0
1196,Argelès-Gazost,23146.0,14.63%,2.18%,2119.37,76.98%,334.0,nc,21.96%,2897.0
1197,Gagnières,16564.0,22.94%,4.68%,nc,78.32%,76.0,nc,20.29%,1088.0
1198,Locminé,21809.0,12.40%,1.88%,2129.49,78.14%,317.0,nc,20.10%,4578.0
1199,Mimizan,22986.0,18.32%,2.89%,2289.91,81.70%,831.0,nc,18.18%,7321.0
1200,Orly,21446.0,16.32%,4.63%,2353.23,87.01%,1740.0,nc,24%,24361.0
1201,Schirmeck,20391.0,18.16%,2.28%,2158.09,81.47%,183.0,nc,20.08%,2132.0
1202,Villaines-la-Juhel,20656.0,12.31%,2.19%,2022.17,81.77%,167.0,nc,17.63%,2713.0
1203,Saint-Cyprien,19269.0,23.08%,2.58%,nc,71.99%,198.0,nc,19.34%,1538.0
1204,Saint-Saëns,22051.0,17.04%,2.89%,2159.27,83.15%,173.0,nc,21.54%,2326.0
1205,Chanteloup-les-Vignes,22624.0,19.58%,3.67%,2450.36,82.64%,698.0,nc,21.16%,10730.0
1206,Lewarde,22570.0,20.11%,4.37%,2201.95,84.75%,91.0,nc,20.14%,2418.0
1207,Saint-André-de-l'Eure,22134.0,15.13%,1.86%,2144.61,82.29%,249.0,nc,20.84%,4055.0
1208,Saint-Vite,18529.0,21.78%,3.74%,nc,76.53%,44.0,nc,18.44%,1164.0
1209,Dompierre-sur-Besbre,21200.0,14.97%,2.47%,2120.41,84.63%,192.0,nc,19.87%,3010.0
1210,Lesneven,23542.0,12.55%,2.14%,2126.27,81.98%,482.0,nc,21.59%,7285.0
1211,Meymac,21582.0,13.23%,2.28%,2106.59,78.21%,180.0,nc,21.50%,2291.0
1212,Saint-Souplet,19431.0,19.89%,4.07%,nc,80%,43.0,nc,19.62%,1203.0
1213,Caunes-Minervois,19945.0,14.17%,5.31%,nc,79.24%,127.0,nc,19.29%,1601.0
1214,Cousolre,20811.0,18.14%,4.10%,2160.10,84.59%,108.0,nc,17.29%,2172.0
1215,Mauléon-Licharre,21160.0,10.90%,2.71%,1985.31,83.48%,346.0,nc,21.33%,2953.0
1216,Orléans,25059.0,16.26%,4.16%,2453.18,78.16%,8524.0,9179,29.04%,117026.0
1217,Ouveillan,21507.0,15.31%,3.01%,2158.98,83.09%,156.0,nc,19.11%,2554.0
1218,Semur-en-Auxois,23144.0,12.66%,3.05%,2214,77.68%,385.0,nc,25.10%,4114.0
1219,Septfonds,19754.0,16.18%,2.40%,2145.39,83.33%,141.0,nc,18.55%,2261.0
1220,Bourcefranc-le-Chapus,22519.0,15.54%,2.32%,2105.79,82.25%,225.0,nc,17.11%,3515.0
1221,Saint-Nicolas-de-Redon,23007.0,13.82%,2.81%,2131.08,82.11%,193.0,nc,19.37%,3280.0
1222,Vailly-sur-Aisne,21689.0,15.54%,3.47%,2132.37,83.02%,106.0,nc,18.96%,2017.0
1223,Annay,22417.0,14.08%,2.83%,2175.01,84.20%,175.0,nc,19.50%,4477.0
1224,Bubry,20167.0,12.73%,2.51%,2044.26,80.87%,157.0,nc,16.72%,2289.0
1225,Capdenac-Gare,21221.0,11.98%,2.16%,2103.76,83.89%,292.0,nc,21.26%,4400.0
1226,Pierrelatte,22547.0,18.42%,2.47%,2329.92,84%,1061.0,nc,21.39%,13708.0
1227,Quimperlé,23449.0,13.23%,2.84%,2212.72,83.72%,888.0,nc,22.03%,12077.0
1228,Algrange,20627.0,11.06%,3.75%,2096.72,87.31%,228.0,nc,19.32%,6104.0
1229,Champagne-sur-Seine,21249.0,15.60%,3.89%,2327.24,85.43%,380.0,nc,22.11%,6354.0
1230,Cormeilles,18863.0,19.05%,3.52%,nc,76.76%,139.0,nc,25.04%,1195.0
1231,Évron,22051.0,11.42%,2.08%,2122.80,81.55%,375.0,nc,17.87%,8667.0
1232,Haulchin,22012.0,15.64%,3.58%,2183.31,84.51%,70.0,nc,20.69%,2328.0
1233,Melle,22770.0,12.51%,2.29%,2145.34,82.80%,331.0,nc,21.09%,6018.0
1234,Mondoubleau,19152.0,17.83%,3.90%,nc,79.03%,87.0,nc,19.19%,1310.0
1235,Puichéric,18896.0,20.42%,3.87%,nc,73.84%,76.0,nc,18.66%,1186.0
1236,Rodez,24910.0,11.99%,2.45%,2198.42,80.92%,2376.0,8758,31.33%,24397.0
1237,Suippes,20596.0,9.78%,1.47%,2006.72,58.09%,128.0,nc,20.95%,3881.0
1238,Terres-de-Haute-Charente,19261.0,13.30%,2.59%,2127.09,85.21%,207.0,nc,17.16%,3867.0
1239,Crouy,21789.0,17.29%,3%,2209.20,84.78%,127.0,nc,21.64%,2958.0
1240,Labastide-Rouairoux,17020.0,22.01%,3.32%,nc,79.78%,103.0,nc,17.01%,1413.0
1241,Marsillargues,21882.0,17%,2.93%,2307.47,84.27%,499.0,nc,21.10%,6395.0
1242,Monségur,17622.0,15.26%,2.95%,nc,81.82%,158.0,nc,24.51%,1598.0
1243,Montmarault,16983.0,20.58%,4.07%,nc,85.07%,128.0,nc,22%,1523.0
1244,Sézanne,23268.0,15.28%,3.14%,2273.61,79.89%,333.0,nc,20.20%,4775.0
1245,Aigre,18203.0,13.87%,3.76%,nc,80.24%,109.0,nc,19.72%,1595.0
1246,Aire-sur-l'Adour,25265.0,15.65%,3.02%,2207.10,80.89%,612.0,nc,20.88%,6197.0
1247,Carentoir,21171.0,13.85%,2.14%,2074.32,82.42%,176.0,nc,16.89%,3062.0
1248,Carling,22145.0,15.16%,2.94%,2165.64,83.91%,178.0,nc,18.44%,3414.0
1249,Saint-Nicolas-d'Aliermont,22661.0,13.57%,2.39%,2132.26,82.10%,195.0,nc,19.45%,3718.0
1250,Villeneuve-de-Berg,22404.0,12.92%,2.61%,2113.52,82.59%,220.0,nc,22.05%,3028.0
1251,Bessé-sur-Braye,22759.0,19.72%,2.69%,1971.28,84.01%,105.0,nc,16.81%,2069.0
1252,Crécy-sur-Serre,19971.0,17.64%,2.79%,nc,78.78%,61.0,nc,18.36%,1499.0
1253,Fréjus,25277.0,14.74%,3.46%,2292.03,81.59%,6991.0,8550,20.14%,55750.0
1254,Gourdan-Polignan,18121.0,22.15%,4.49%,nc,83.71%,70.0,nc,25.42%,1182.0
1255,Montchanin,21356.0,14.41%,2.25%,2288.95,81.95%,237.0,nc,22.09%,4992.0
1256,Villeneuve-de-Marsan,22116.0,15.13%,1.91%,2017.89,81.81%,163.0,nc,18.74%,2445.0
1257,Braine,21018.0,17.12%,3.98%,2210.04,84.81%,120.0,nc,20.70%,2232.0
1258,Chagny,22143.0,13.25%,2%,2158.66,82.50%,357.0,nc,20.96%,5516.0
1259,Châteauneuf-en-Thymerais,20935.0,13.62%,2.40%,2127.90,84.22%,165.0,nc,23.66%,2614.0
1260,L'Isle-sur-le-Doubs,20633.0,13.66%,3.92%,2222.84,83.59%,181.0,nc,20.53%,2849.0
1261,Notre-Dame-de-Bondeville,23881.0,14.48%,4.14%,2275.60,84.12%,304.0,nc,23.66%,6966.0
1262,Pont-de-Vaux,20004.0,11.31%,2.74%,2103.76,81.54%,237.0,nc,24.35%,2195.0
1263,VireNormandie,25056.0,11.59%,2.52%,2124.90,81.95%,997.0,nc,21.86%,16935.0
1264,Beaumont-le-Roger,22144.0,15.90%,2.71%,2215.55,81.83%,196.0,nc,22.79%,2791.0
1265,Vergt,20329.0,19.47%,2.54%,nc,76.94%,187.0,nc,19.24%,1712.0
1266,Beaumont-sur-Sarthe,19547.0,14.85%,2.13%,nc,77.93%,124.0,nc,19.91%,1979.0
1267,Bonnétable,20618.0,10.43%,2.14%,2032.97,83.80%,149.0,nc,19.33%,3749.0
1268,Buis-les-Baronnies,21805.0,15.68%,3.10%,2185.79,74.42%,306.0,nc,18.02%,2291.0
1269,LesPeintures,20501.0,15.72%,3.83%,nc,79.81%,100.0,nc,18.35%,1634.0
1270,Saint-Denis-de-Pile,22160.0,13.12%,3.03%,2209.38,83.48%,370.0,nc,18.93%,5791.0
1271,Vaison-la-Romaine,25066.0,15.26%,2.75%,2167.97,81.03%,906.0,nc,20.29%,5892.0
1272,Villepinte,21291.0,19.59%,5.17%,nc,80.94%,78.0,nc,25.46%,1260.0
1273,Beauval,21200.0,15.33%,3.02%,nc,82.20%,64.0,nc,18.15%,2007.0
1274,Caumont-sur-Aure,20282.0,12.17%,1.99%,2049.16,81.44%,146.0,nc,18.82%,2394.0
1275,LaVerrière,21687.0,15.78%,3.32%,2376.71,83.99%,350.0,nc,24.63%,6222.0
1276,Prayssac,23180.0,14.92%,3.41%,2065.07,79%,280.0,nc,16.10%,2419.0
1277,Château-Renard,21103.0,20%,4.99%,2221.52,84.88%,184.0,nc,21.92%,2106.0
1278,Frouard,23413.0,16.86%,3.50%,2275.43,84.82%,351.0,nc,21.55%,6543.0
1279,Colmar,25179.0,16.22%,3.14%,2335.55,80.01%,5745.0,11565,22.49%,68294.0
1280,Nancy,25820.0,17.68%,5.43%,2477.14,75.50%,9594.0,11787,39.22%,104403.0
1281,Pont-sur-Yonne,21473.0,13.38%,3.24%,2228.14,82.84%,216.0,nc,21.90%,3316.0
1282,Puy-Guillaume,21285.0,15.28%,2.57%,2105.02,85.39%,170.0,nc,19.41%,2735.0
1283,Sault-lès-Rethel,22060.0,16.35%,3.79%,nc,83.73%,80.0,nc,21.63%,1928.0
1284,Thiberville,20500.0,16.92%,2.82%,nc,81.42%,156.0,nc,22.39%,1781.0
1285,Cogolin,23986.0,17.86%,2.61%,2244.02,83.29%,1840.0,nc,18.77%,11794.0
1286,Blâmont,16866.0,25.12%,6.67%,nc,83.52%,65.0,nc,26.67%,1053.0
1287,Couiza,18738.0,16.94%,4.35%,nc,77.05%,101.0,nc,25.38%,1122.0
1288,Crécy-en-Ponthieu,19522.0,18.77%,2.87%,nc,77.12%,98.0,nc,19.21%,1366.0
1289,Graçay,21315.0,19.89%,4.06%,nc,80.45%,79.0,nc,20.20%,1369.0
1290,Héricourt,22035.0,16.22%,2.47%,2297.40,85.06%,550.0,nc,21.15%,10592.0
1291,Ivry-sur-Seine,22430.0,15.59%,4.64%,2547.27,83.40%,6496.0,nc,25.70%,64016.0
1292,Lalevade-d'Ardèche,17689.0,18.29%,3.41%,nc,78.88%,90.0,nc,24.67%,1131.0
1293,Malijai,20741.0,20.25%,2.75%,2168.33,84.29%,113.0,nc,19.38%,1984.0
1294,Vernantes,19809.0,13.08%,2.01%,nc,77.37%,83.0,nc,23.77%,1993.0
1295,Châteaumeillant,19111.0,18.92%,4.40%,nc,84.62%,112.0,nc,17.62%,1740.0
1296,Bellignat,23284.0,14.99%,2.64%,2264.62,76.77%,264.0,nc,22.58%,3671.0
1297,Bompas,24004.0,16.22%,3.71%,2204.83,86.27%,455.0,nc,20.41%,7625.0
1298,Dijon,26006.0,14.83%,3.03%,2355.25,79.96%,12315.0,8526,29.73%,159106.0
1299,LaChâtaigneraie,23605.0,13.49%,2.16%,2062.53,80.21%,179.0,nc,21.53%,2601.0
1300,Maignelay-Montigny,22316.0,17.78%,2.43%,2180.84,83.50%,102.0,nc,20.31%,2616.0
1301,Montmédy,21077.0,12.21%,3.35%,1994.89,82.20%,104.0,nc,16.15%,2040.0
1302,Valençay,21364.0,13.89%,2.25%,2046.72,82.40%,154.0,nc,17.66%,2303.0
1303,Angres,24137.0,17.25%,3.45%,2212.20,85.15%,152.0,nc,19.93%,4777.0
1304,Bressuire,24818.0,11.64%,2.17%,2129.89,80.47%,1276.0,nc,19.74%,19862.0
1305,Gérardmer,24678.0,13.02%,2.77%,2195.10,79.67%,921.0,nc,20.90%,7822.0
1306,Saint-Rémy-sur-Avre,21772.0,17.55%,2.32%,2177.85,85.82%,175.0,nc,18.98%,4048.0
1307,Aytré,23528.0,16.31%,2.68%,2354.41,82.36%,1115.0,nc,27.29%,9397.0
1308,Bourg-lès-Valence,24390.0,14.81%,2.97%,2315.57,82.24%,1375.0,nc,21.12%,19814.0
1309,Égletons,22057.0,10.73%,1.47%,2048.47,65.65%,284.0,nc,22.85%,4274.0
1310,Hagetmau,22691.0,12.43%,2.01%,2021.05,83.47%,380.0,nc,18.42%,4631.0
1311,Haisnes,21127.0,12.58%,2.64%,2132.07,86.62%,137.0,nc,20.17%,4416.0
1312,LesUlis,22458.0,15.62%,3.25%,2347.53,85.58%,1800.0,nc,22.20%,25165.0
1313,Montélimar,24336.0,17.54%,3.41%,2369.56,83.71%,3963.0,9547,22.64%,39790.0
